timestamp_ms,event,best_bid,best_ask,mid_price,last_trade_price,last_trade_qty,vwap,sma,rsi,signal,signal_reason
1772090026873,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.40,99.0,NONE,Price crossed VWAP upward
1772090026956,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,99.0,NONE,Price crossed VWAP upward
1772090027039,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027122,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027205,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027288,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027372,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027456,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027539,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027622,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027705,trade,68234.40,68234.41,68234.40,68234.41,0.000750,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027788,trade,68234.40,68234.41,68234.40,68234.41,0.000080,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027871,trade,68234.40,68234.41,68234.40,68234.41,0.000080,68234.40,68234.41,0.0,NONE,RSI exited overbought zone
1772090027957,trade,68234.40,68234.41,68234.40,68234.40,0.011000,68234.40,68234.41,0.0,NONE,Price crossed VWAP downward
1772090028040,trade,68234.40,68234.41,68234.40,68234.40,0.011000,68234.40,68234.41,0.0,NONE,Price crossed VWAP downward
1772090028124,trade,68234.40,68234.41,68234.40,68234.40,0.011000,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090028208,trade,68234.40,68234.41,68234.40,68234.40,0.011000,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090028292,trade,68234.40,68234.41,68234.40,68234.40,0.011000,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090028376,trade,68234.40,68234.41,68234.40,68234.40,0.011000,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090028460,trade,68234.40,68234.41,68234.40,68234.40,0.011000,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090028543,trade,68234.40,68234.41,68234.40,68234.40,0.011000,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090028626,trade,68234.40,68234.41,68234.40,68234.41,0.000780,68234.40,68234.40,99.0,NONE,Price crossed VWAP upward
1772090028711,trade,68234.40,68234.41,68234.40,68234.40,0.000130,68234.40,68234.40,50.0,NONE,Price crossed VWAP downward
1772090028794,trade,68234.40,68234.41,68234.40,68234.40,0.000130,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090028877,trade,68234.40,68234.41,68234.40,68234.40,0.000130,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090028963,trade,68234.40,68234.41,68234.40,68234.40,0.000130,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029048,trade,68234.40,68234.41,68234.40,68234.40,0.000130,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
1772090029132,trade,68234.40,68234.41,68234.40,68234.40,0.000130,68234.40,68234.40,0.0,NONE,Price crossed VWAP downward
